Word,Time_s,F0_Hz
great,1.548082,181.980113
great,1.553254,185.149402
great,1.558427,184.486895
great,1.563599,184.845087
great,1.568772,183.750748
great,1.573944,182.230756
great,1.579116,182.487033
great,1.584289,183.155167
great,1.589461,181.464414
great,1.594634,181.015240
great,1.599806,180.494542
great,1.604978,179.510308
great,1.610151,177.828071
great,1.615323,175.354205
great,1.620496,174.549756
great,1.625668,174.311276
great,1.630841,173.033910
great,1.636013,172.365819
great,1.641185,169.382266
great,1.646358,171.287654
great,1.651530,170.347278
great,1.656703,170.179834
great,1.661875,171.131301
great,1.667047,171.031326
great,1.672220,170.331515
great,1.677392,170.019623
great,1.682565,169.379545
great,1.687737,167.678427
great,1.692909,165.482618
great,1.698082,163.213886
great,1.703254,161.384356
great,1.708427,160.067782
great,1.713599,159.628163
great,1.718772,158.036225
great,1.723944,157.156532
great,1.729116,164.101281
great,1.734289,159.034770
great,1.739461,151.119310
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
