Word,Time_s,Intensity_dB
great,1.534634,62.875940
great,1.540151,65.438132
great,1.545668,67.669964
great,1.551185,69.501486
great,1.556703,71.059473
great,1.562220,72.468296
great,1.567737,73.589201
great,1.573254,74.090482
great,1.578772,74.036933
great,1.584289,73.689066
great,1.589806,73.000187
great,1.595323,72.194167
great,1.600841,71.676782
great,1.606358,71.251063
great,1.611875,70.684201
great,1.617392,70.180027
great,1.622909,70.186693
great,1.628427,70.555301
great,1.633944,70.747169
great,1.639461,70.310206
great,1.644978,69.870014
great,1.650496,70.126866
great,1.656013,70.553830
great,1.661530,70.971533
great,1.667047,71.443001
great,1.672565,71.660373
great,1.678082,71.643383
great,1.683599,71.235393
great,1.689116,70.236946
great,1.694634,68.789358
great,1.700151,67.142947
great,1.705668,65.391196
great,1.711185,63.890987
great,1.716703,62.910995
great,1.722220,62.378592
great,1.727737,61.823294
great,1.733254,60.805961
great,1.738772,59.801786
great,1.744289,59.070157
great,1.749806,57.127812
great,1.755323,54.711587
great,1.760841,52.041147
great,1.766358,48.466594
great,1.771875,46.406571
great,1.777392,45.220566
great,1.782909,42.690281
great,1.788427,38.792899
great,1.793944,35.707765
great,1.799461,34.819993
great,1.804978,33.750394
great,1.810496,31.904099
great,1.816013,28.508451
great,1.821530,24.159663
great,1.827047,20.991886
great,1.832565,18.277042
great,1.838082,17.283144
great,1.843599,17.544014
great,1.849116,17.101213
great,1.854634,16.378540
great,1.860151,15.958890
great,1.865668,15.091967
great,1.871185,15.076909
great,1.876703,21.214934
great,1.882220,28.879698
great,1.887737,36.538244
great,1.893254,43.270470
great,1.898772,46.963285
great,1.904289,48.432858
great,1.909806,50.431040
great,1.915323,53.040778
great,1.920841,53.638494
great,1.926358,52.389270
great,1.931875,50.887241
great,1.937392,49.910761
great,1.942909,49.823430
great,1.948427,49.959552
great,1.953944,49.516283
great,1.959461,49.034929
great,1.964978,48.024423
great,1.970496,46.390684
great,1.976013,44.512017
great,1.981530,42.827581
great,1.987047,41.195419
great,1.992565,39.536136
great,1.998082,38.085844
great,2.003599,36.842849
great,2.009116,35.699626
great,2.014634,35.223470
great,2.020151,34.838750
great,2.025668,33.668943
great,2.031185,31.926746
great,2.036703,30.272203
great,2.042220,28.512916
great,2.047737,26.495992
great,2.053254,24.339941
great,2.058772,24.994975
great,2.064289,25.328187
great,2.069806,23.868376
great,2.075323,24.378533
great,2.080841,26.310584
great,2.086358,27.514659
great,2.091875,26.938748
great,2.097392,23.952574
great,2.102909,21.219366
great,2.108427,21.265306
